Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
15231,0.4,Very Good,J,VVS1,61.2,55.0,4.75,4.8,2.92,772
5154,1.04,Premium,G,VVS1,58.2,60.0,6.71,6.66,3.89,6890
12966,0.44,Premium,G,SI1,60.1,60.0,4.95,4.86,2.95,990
769,1.25,Premium,E,VS2,61.5,58.0,6.98,6.91,4.27,10640
3684,1.14,Ideal,G,IF,61.1,57.0,6.7,6.76,4.11,10313
10203,1.01,Premium,F,VVS1,60.8,58.0,6.55,6.48,3.96,10341
15480,0.32,Premium,I,VVS1,63.0,58.0,4.38,4.32,2.74,756
21350,0.9,Good,F,SI2,63.2,58.0,6.09,6.12,3.86,3318
17701,0.25,Very Good,D,VVS2,,56.0,4.0,4.03,2.52,548
13375,1.5,Good,I,SI1,64.2,56.0,7.25,7.14,4.62,7207
206,0.51,Very Good,G,VS2,62.4,62.0,5.07,5.09,3.17,1438
24999,1.01,Very Good,I,I1,63.1,57.0,6.39,6.35,4.02,2896
20258,0.42,Ideal,D,VS2,62.6,56.0,4.76,4.8,2.99,948
20300,1.02,Ideal,E,SI1,62.3,54.0,6.45,6.49,4.03,5509
26729,0.42,Ideal,D,SI2,62.4,57.0,4.81,4.78,2.99,898
18632,1.0,Premium,J,VVS2,59.6,61.0,6.4,6.36,3.8,3864
21571,0.8,Very Good,D,VS2,63.1,57.0,5.94,5.89,3.73,3135
25305,0.7,Very Good,E,VS2,58.8,56.0,5.79,5.84,3.42,2473
21414,0.7,Good,D,SI2,59.2,60.0,5.75,5.78,3.41,2382
3904,0.47,Ideal,J,SI1,61.9,55.0,5.0,5.05,3.11,740
18102,0.72,Very Good,E,VVS2,60.5,55.0,5.82,5.85,3.53,3798
25373,0.62,Ideal,H,VS2,62.8,57.0,5.43,5.4,3.4,1652
21465,0.35,Premium,H,VVS2,61.9,58.0,4.5,4.54,2.8,706
4730,1.04,Ideal,F,VS2,62.1,57.0,6.53,6.48,4.04,6814
6747,1.19,Very Good,H,VS2,61.1,58.0,6.78,6.83,4.16,6819
20456,0.4,Premium,F,VVS2,60.7,58.0,4.7,4.75,2.87,1088
12072,0.56,Ideal,E,SI1,60.9,56.0,5.32,5.35,3.25,1580
23871,1.02,Good,F,SI1,64.3,58.0,6.28,6.32,4.05,4936
16508,0.51,Ideal,D,VS1,60.9,57.0,5.2,5.17,3.16,1845
23805,1.54,Premium,H,VS2,61.9,61.0,7.41,7.33,4.56,10758
20316,1.71,Ideal,G,SI1,62.1,56.0,7.65,7.61,4.74,13196
8462,1.01,Good,F,SI1,64.2,58.0,6.33,6.31,4.06,4276
14324,0.5,Very Good,D,SI1,58.8,60.0,5.17,5.23,3.06,1436
11876,1.5,Very Good,G,VVS1,63.3,58.0,7.19,7.27,4.58,14842
2513,0.57,Premium,H,VVS1,61.6,58.0,5.39,5.35,3.31,2172
19620,0.3,Premium,G,VS2,61.8,60.0,4.29,4.25,2.64,630
7639,0.59,Premium,H,VVS2,62.3,55.0,5.42,5.33,3.35,1886
12692,0.7,Premium,H,VS2,61.7,59.0,5.66,5.68,3.5,2010
20916,1.53,Premium,J,VVS1,61.6,58.0,7.4,7.37,4.55,9322
17669,0.97,Very Good,G,SI2,59.8,58.0,6.38,6.42,3.83,3960
26653,2.0,Very Good,J,VS2,60.8,62.0,8.09,8.12,4.93,13043
4910,0.3,Premium,E,VS1,61.4,59.0,4.32,4.28,2.64,814
5553,0.24,Ideal,I,VVS1,62.3,57.0,3.98,3.95,2.47,432
9598,0.3,Ideal,H,SI1,61.6,54.0,4.33,4.37,2.68,450
2052,0.3,Premium,H,VVS2,60.6,58.0,4.35,4.33,2.63,776
26332,1.5,Premium,H,I1,61.1,59.0,7.37,7.26,4.47,3599
10647,0.32,Ideal,I,VVS1,62.4,55.0,4.34,4.38,2.72,589
23080,0.3,Ideal,H,VVS1,61.9,57.0,4.3,4.33,2.67,665
5216,0.56,Ideal,E,VS1,62.3,57.0,5.3,5.26,3.29,1791
14682,0.24,Ideal,E,VVS1,60.2,57.0,4.02,4.07,2.44,678
11246,0.56,Ideal,F,VS2,61.3,54.0,5.34,5.37,3.28,1723
18928,0.31,Very Good,G,VVS2,62.9,58.0,4.27,4.31,2.7,707
7597,0.7,Ideal,G,VVS1,61.6,55.0,5.72,5.75,3.53,3073
3363,1.01,Ideal,E,SI2,61.6,58.0,6.45,6.5,3.99,4668
26714,1.0,Ideal,F,SI1,62.4,55.0,6.45,6.37,4.0,4939
5912,0.31,Premium,G,SI1,61.5,59.0,4.38,4.34,2.68,593
4637,0.35,Premium,H,VVS2,62.7,58.0,4.5,4.46,2.81,906
20782,0.72,Ideal,E,SI2,60.1,56.0,5.85,5.83,3.51,2674
17582,2.05,Premium,I,SI2,62.0,58.0,8.13,8.08,5.02,9850
1394,0.55,Ideal,G,VVS2,60.8,56.9,5.27,5.31,3.22,2064
5944,0.92,Premium,H,VS2,62.4,60.0,6.24,6.16,3.87,4451
435,0.51,Good,F,SI1,63.6,56.0,5.11,5.08,3.24,1312
22019,1.71,Ideal,F,VS2,61.9,57.0,7.73,7.62,4.75,16384
24526,0.8,Premium,G,SI2,59.7,62.0,6.02,5.98,3.58,2484
6359,2.5,Fair,G,I1,65.1,59.0,8.55,8.39,5.53,8711
9918,0.3,Ideal,E,VS1,62.5,54.0,4.27,4.32,2.69,703
10681,0.5,Very Good,H,IF,61.3,60.0,5.08,5.17,3.14,1706
24620,0.91,Fair,E,SI2,64.5,60.0,6.04,5.96,3.87,3119
10002,0.54,Ideal,I,VS1,61.9,54.0,5.24,5.29,3.26,1216
9276,0.58,Ideal,I,VVS1,63.0,57.0,5.34,5.29,3.35,1758
10848,0.61,Premium,H,VVS2,62.4,59.0,5.4,5.43,3.38,1827
5612,0.24,Very Good,F,VVS1,,56.0,3.98,4.0,2.46,485
562,0.91,Ideal,J,VS1,61.9,56.0,6.19,6.22,3.85,3863
13640,1.52,Premium,I,VS2,59.0,59.0,7.53,7.46,4.42,9057
11175,0.52,Ideal,D,VS2,61.8,57.0,5.16,5.2,3.2,1822
24290,0.4,Ideal,G,VVS1,61.5,57.0,4.74,4.79,2.93,1059
12715,0.32,Ideal,E,VS2,62.9,56.0,4.39,4.36,2.75,900
18007,0.52,Very Good,E,SI1,60.8,56.0,5.17,5.2,3.15,1343
8507,1.1,Ideal,F,IF,62.0,57.0,6.65,6.57,4.1,11233
1230,0.3,Very Good,E,SI2,61.6,61.0,4.25,4.29,2.63,421
10390,2.06,Good,J,SI1,64.1,56.0,7.97,8.09,5.15,11746
8233,0.31,Ideal,H,VS1,61.6,56.0,4.34,4.36,2.68,544
17357,0.58,Very Good,G,VVS2,62.0,57.0,5.33,5.34,3.31,2078
8523,0.5,Premium,F,VVS2,,56.0,5.15,5.11,3.17,2160
11399,0.7,Ideal,I,VVS1,61.8,56.0,5.72,5.74,3.54,2492
24909,1.02,Very Good,F,VS1,61.9,59.0,6.38,6.44,3.97,7257
8310,1.04,Premium,E,SI2,61.0,60.0,6.57,6.52,3.99,4240
275,0.39,Ideal,G,VS2,62.5,54.0,4.67,4.7,2.93,857
2038,0.71,Fair,F,VS1,57.3,67.0,5.96,5.76,3.36,2707
5179,0.32,Ideal,F,VVS1,61.6,55.0,4.42,4.44,2.73,854
15022,1.08,Ideal,D,VS1,61.1,56.0,6.59,6.63,4.04,9545
12811,2.42,Premium,J,SI2,58.5,59.0,8.85,8.82,5.17,16198
12152,0.51,Ideal,D,VS2,61.9,56.0,5.14,5.11,3.17,1882
24498,0.7,Good,D,VVS1,59.2,59.0,5.76,5.79,3.42,4198
15172,1.07,Very Good,D,VS1,59.9,55.0,6.69,6.71,4.01,9681
2117,0.52,Ideal,F,VVS1,62.3,56.0,5.14,5.16,3.21,2333
13150,0.58,Premium,E,VS2,61.5,58.0,5.41,5.38,3.32,2535
13174,0.81,Very Good,F,SI1,63.1,59.0,5.85,5.79,3.67,2809
587,0.35,Very Good,G,VS2,60.2,60.0,4.54,4.6,2.75,658
2490,1.3,Premium,F,VS1,61.0,59.0,7.05,7.08,4.31,10930
6848,1.24,Very Good,G,SI1,61.8,59.0,6.85,6.88,4.24,6438
2505,0.79,Premium,H,VVS2,62.6,58.0,5.96,5.9,3.71,2827
17345,0.31,Ideal,F,VS2,62.3,57.0,4.34,4.3,2.69,802
4615,0.31,Ideal,H,VS2,61.5,57.0,4.38,4.33,2.68,628
7296,1.0,Ideal,F,VVS2,59.7,60.0,6.48,6.52,3.88,9014
1501,0.33,Ideal,D,VS2,62.3,56.0,4.43,4.46,2.77,781
2556,0.71,Premium,D,SI1,60.6,58.0,5.79,5.77,3.5,2863
9201,0.33,Ideal,H,VVS1,61.5,56.0,4.46,4.49,2.75,730
5604,0.51,Good,D,SI1,63.3,57.0,5.06,5.09,3.21,1423
23458,1.7,Premium,H,SI1,61.8,61.0,7.59,7.52,4.67,11848
6037,0.59,Ideal,I,SI1,61.7,55.0,5.41,5.39,3.33,1352
21719,0.41,Premium,F,VVS2,61.0,59.0,4.83,4.77,2.93,1192
17294,1.39,Premium,F,SI1,62.1,58.0,7.1,7.16,4.43,8476
2380,0.41,Very Good,E,VVS2,63.1,58.0,4.75,4.72,2.99,1133
6669,0.52,Ideal,H,IF,59.2,58.0,5.23,5.31,3.12,1967
11204,0.7,Good,I,SI1,61.6,63.0,5.59,5.68,3.47,1763
18402,0.33,Premium,E,VS2,60.6,58.0,4.49,4.45,2.71,866
18792,0.31,Ideal,H,VS1,62.0,53.0,4.34,4.37,2.7,562
6947,0.32,Ideal,G,SI1,60.8,56.0,4.48,4.44,2.71,612
1122,1.3,Ideal,G,SI2,61.9,57.0,7.01,6.95,4.32,5169
15910,0.52,Very Good,H,VS1,62.2,55.0,5.15,5.18,3.21,1659
2244,1.72,Good,F,SI1,63.2,61.0,7.57,7.62,4.8,13499
7460,0.9,Very Good,H,VS1,62.7,56.0,6.15,6.2,3.87,3964
8794,0.5,Very Good,F,IF,59.7,60.0,5.18,5.24,3.11,2219
16279,0.9,Premium,F,SI2,58.0,57.0,6.41,6.34,3.7,3704
11997,0.38,Good,E,VVS1,62.4,64.0,4.59,4.61,2.87,904
9652,1.5,Premium,I,VS1,62.7,59.0,7.3,7.25,4.56,10080
12582,0.4,Good,G,SI1,63.2,58.0,4.61,4.7,2.94,655
17043,1.23,Very Good,G,SI2,61.0,63.0,6.91,6.85,4.2,4477
4697,2.54,Very Good,I,SI2,62.4,60.0,8.58,8.73,5.4,17996
23434,0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,3146
23644,1.23,Premium,G,SI2,58.9,62.0,7.03,6.97,4.12,4408
17623,0.41,Premium,G,VS1,62.4,57.0,4.74,4.71,2.95,961
3617,0.9,Fair,D,SI1,64.5,61.0,6.05,6.01,3.89,3689
14661,1.23,Ideal,F,VVS2,61.8,56.0,6.89,6.84,4.24,11141
20662,0.52,Good,G,IF,59.8,57.0,5.24,5.27,3.14,2093
8764,0.41,Ideal,E,VVS1,61.3,57.0,4.79,4.77,2.93,1431
20252,0.72,Very Good,G,VS2,63.1,57.0,5.74,5.71,3.61,2732
21520,0.91,Good,F,SI1,64.4,60.0,6.05,6.1,3.91,3994
8905,0.31,Ideal,E,VS1,61.8,56.0,4.34,4.37,2.69,734
3267,0.3,Premium,H,SI1,,58.0,4.28,4.24,2.68,554
10090,0.9,Ideal,D,SI2,62.4,56.0,6.24,6.16,3.87,4007
16598,2.19,Ideal,I,SI2,62.5,56.0,8.31,8.24,5.18,15254
20730,0.25,Ideal,F,VVS1,60.9,57.0,4.06,4.09,2.48,575
8156,1.0,Very Good,G,VVS2,60.3,62.0,6.41,6.45,3.88,7163
2998,0.46,Fair,I,VS2,66.8,55.0,4.82,4.77,3.2,855
15077,0.3,Premium,G,VVS1,62.7,59.0,4.27,4.22,2.66,1013
22233,1.38,Ideal,J,SI2,61.0,56.0,7.22,7.26,4.42,5765
15432,0.32,Ideal,F,VVS1,60.3,57.0,4.42,4.44,2.67,912
1618,0.32,Ideal,F,VS2,62.4,57.0,4.34,4.38,2.72,645
2422,2.02,Premium,J,VS2,62.0,59.0,8.08,8.06,5.0,13812
13545,0.32,Ideal,I,VS2,60.3,56.0,4.45,4.44,2.68,576
10223,1.11,Very Good,D,VVS1,62.5,58.0,6.67,6.6,4.15,12200
4310,1.19,Premium,J,SI1,63.0,54.0,6.82,6.74,4.27,4498
26349,0.51,Very Good,J,VS2,63.1,56.0,5.13,5.1,3.23,1080
24304,0.9,Very Good,G,SI2,64.2,60.0,6.02,6.09,3.89,3437
23218,0.37,Good,D,SI1,63.7,55.0,4.59,4.55,2.91,874
9428,2.1,Premium,J,SI1,62.9,58.0,8.15,8.09,5.11,13930
5758,0.54,Very Good,F,VS1,60.0,59.0,5.26,5.32,3.17,1653
11306,0.9,Good,H,SI1,58.9,61.0,6.27,6.36,3.72,3734
10623,0.33,Very Good,I,VS1,63.1,56.0,4.4,4.38,2.77,668
2761,0.55,Ideal,D,VS2,62.8,57.0,5.27,5.24,3.3,1894
3086,0.53,Ideal,F,SI1,62.6,55.0,5.17,5.22,3.25,1359
4602,0.3,Ideal,H,VVS1,61.6,57.0,4.3,4.34,2.66,665
22140,0.91,Very Good,H,SI1,63.4,59.0,6.12,6.09,3.87,3710
10271,1.06,Ideal,E,VS1,62.1,57.0,6.52,6.49,4.04,8567
22706,0.55,Good,J,VS2,64.1,54.0,5.18,5.21,3.33,1034
58,1.21,Ideal,I,VVS1,61.6,55.0,6.88,6.8,4.21,7086
6476,0.71,Ideal,F,VS2,61.5,55.0,5.74,5.77,3.54,3516
24948,0.3,Ideal,G,VVS1,61.9,55.0,4.32,4.34,2.68,976
20650,1.25,Ideal,H,VVS2,60.6,57.0,7.0,6.97,4.23,8036
21408,1.01,Good,G,VS2,63.2,57.0,6.3,6.35,4.0,5599
4533,0.88,Very Good,I,VS1,63.3,55.0,6.11,6.06,3.85,2996
465,1.52,Ideal,H,VS1,60.1,60.0,7.54,7.51,4.52,11946
20870,0.31,Ideal,H,VVS1,61.9,55.0,4.38,4.41,2.72,687
18336,0.9,Premium,E,SI2,63.0,57.0,6.08,6.05,3.82,3084
22800,2.57,Premium,E,SI2,61.3,60.0,8.82,8.73,5.38,17116
19075,1.09,Good,F,SI2,60.3,61.0,6.64,6.69,4.02,4698
22761,0.52,Ideal,G,IF,61.5,56.0,5.21,5.16,3.19,2164
23346,0.9,Ideal,H,VS1,62.2,58.0,6.14,6.17,3.83,4428
17429,0.51,Ideal,E,SI1,61.4,56.0,5.15,5.17,3.17,1377
20527,0.7,Very Good,F,SI1,59.8,60.0,5.75,5.83,3.46,2196
22896,0.38,Ideal,F,VS2,62.0,56.0,4.63,4.66,2.88,800
19066,0.41,Very Good,J,VS1,60.8,61.0,4.72,4.79,2.89,647
5070,1.2,Very Good,H,SI2,61.5,58.0,6.78,6.84,4.19,5884
22487,0.23,Very Good,E,VS1,60.4,62.0,3.93,3.99,2.39,378
3249,2.32,Ideal,G,SI2,61.0,58.0,8.5,8.54,5.2,18532
7191,0.32,Ideal,H,VS1,61.0,56.0,4.43,4.45,2.71,580
1840,0.38,Ideal,F,VS1,,57.0,4.65,4.67,2.86,929
23916,0.44,Ideal,G,VVS1,61.8,55.0,4.86,4.91,3.02,1235
22045,0.86,Ideal,I,VS2,63.0,53.0,6.1,6.06,3.83,2706
7354,1.04,Very Good,G,VS2,63.4,55.0,6.48,6.42,4.09,6232
528,1.09,Premium,H,VS1,60.2,59.0,6.71,6.67,4.03,5860
16975,0.42,Ideal,H,IF,61.9,56.0,4.79,4.81,2.97,1216
13758,0.25,Very Good,F,VVS2,61.8,58.0,4.05,4.07,2.51,575
19574,0.32,Ideal,D,VS2,62.7,54.0,4.36,4.38,2.74,758
7698,0.7,Very Good,F,VS2,63.6,57.0,5.61,5.65,3.58,2780
6820,1.06,Good,G,VS1,63.4,57.0,6.45,6.48,4.1,6477
16249,1.02,Ideal,E,VS2,60.7,56.0,6.58,6.61,4.0,6704
9994,1.25,Very Good,F,VS2,62.5,59.0,6.81,6.89,4.28,9377
4457,0.39,Premium,D,VS2,61.3,58.0,4.7,4.73,2.89,958
22560,0.32,Ideal,D,VS1,,57.0,4.43,4.4,2.71,1044
23693,0.42,Very Good,I,IF,,58.0,4.83,4.88,2.92,938
13706,0.32,Premium,G,VS2,,60.0,4.36,4.39,2.69,561
15907,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,2668
4877,0.54,Ideal,F,VVS1,60.5,55.0,5.31,5.33,3.22,2356
17090,0.54,Very Good,D,VS2,61.7,58.0,5.16,5.24,3.21,1892
10484,0.41,Very Good,H,VVS1,59.5,58.0,4.82,4.86,2.88,991
7189,0.72,Ideal,D,VS2,62.0,54.8,5.73,5.76,3.56,3543
6072,0.32,Ideal,G,VS1,61.3,55.0,4.45,4.43,2.72,707
20429,2.0,Good,I,VS1,58.8,65.0,8.03,8.1,4.74,15708
496,0.81,Premium,G,SI2,59.0,57.0,6.14,6.1,3.61,2274
24715,0.35,Ideal,E,VS2,61.7,55.0,4.54,4.57,2.81,767
24465,1.3,Very Good,I,VS1,62.6,57.0,6.92,6.95,4.34,6819
2522,0.76,Very Good,H,SI1,60.9,55.0,5.92,5.94,3.61,2838
14604,1.0,Good,J,VVS1,63.5,59.0,6.29,6.34,4.01,4633
13131,0.6,Very Good,D,SI1,62.2,58.0,5.4,5.44,3.37,1750
7896,0.35,Ideal,H,VS2,61.2,56.0,4.53,4.56,2.78,571
596,0.74,Premium,D,SI1,60.6,60.0,5.88,5.84,3.55,2655
3848,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,5412
15005,1.07,Very Good,D,IF,60.9,58.0,6.57,6.67,4.03,18114
21410,0.4,Ideal,F,VVS2,62.0,56.0,4.73,4.76,2.94,1015
13143,0.7,Premium,D,IF,60.0,59.0,5.75,5.81,3.47,5027
24380,1.01,Ideal,D,SI1,60.8,56.0,6.54,6.48,3.96,5939
6528,0.82,Good,F,VS2,,62.2,5.97,6.04,3.66,3363
12978,1.06,Premium,G,VVS1,61.1,58.0,6.53,6.57,4.0,8170
7212,0.39,Ideal,F,SI1,62.5,55.0,4.68,4.63,2.91,921
12098,1.2,Premium,H,VS2,62.4,59.0,6.73,6.69,4.19,6416
25287,0.51,Very Good,G,VVS2,63.3,58.0,5.07,5.04,3.2,1895
5109,1.5,Very Good,E,SI2,63.5,60.0,7.19,7.12,4.54,6300
19640,0.32,Ideal,G,VVS1,61.1,55.0,4.45,4.48,2.73,814
18863,1.0,Very Good,G,SI2,,60.0,6.31,6.36,3.95,4142
15815,1.06,Ideal,H,SI1,61.7,56.0,6.58,6.55,4.05,5188
22378,1.31,Premium,H,VS2,62.5,58.0,6.97,6.94,4.35,7459
9097,1.5,Very Good,H,VVS1,60.9,61.0,7.36,7.39,4.49,11688
25399,0.83,Premium,E,SI1,60.7,58.0,6.06,6.09,3.69,3482
6831,2.13,Very Good,G,SI2,61.5,57.0,8.27,8.34,5.11,15454
19024,1.59,Ideal,I,SI1,62.4,58.0,7.43,7.48,4.65,9209
14922,0.71,Very Good,I,SI1,60.4,63.0,5.8,5.73,3.48,2028
3865,0.43,Ideal,H,SI1,62.4,56.0,4.81,4.83,3.01,716
17533,0.72,Very Good,H,SI1,63.0,58.0,5.68,5.71,3.59,2198
19277,0.33,Ideal,F,VS2,61.6,55.0,4.48,4.45,2.75,854
7005,0.57,Ideal,G,VS2,61.8,57.0,5.3,5.32,3.28,1608
9313,0.71,Fair,H,SI1,65.1,55.0,5.69,5.65,3.69,2049
3794,1.2,Good,E,SI1,64.0,61.0,6.61,6.67,4.25,6969
11379,0.71,Premium,H,VS1,61.2,57.0,5.83,5.77,3.55,2572
13223,0.32,Ideal,G,VS1,61.8,55.0,4.42,4.45,2.74,559
17479,1.0,Fair,I,VS2,65.7,58.0,6.25,6.2,4.09,3265
10752,0.9,Good,F,VS2,65.0,58.0,6.03,6.06,3.93,4268
24487,0.45,Ideal,E,SI2,61.5,55.0,4.92,4.97,3.04,706
18172,1.16,Ideal,H,SI1,62.2,54.0,6.72,6.75,4.19,6036
11172,0.4,Premium,D,SI1,59.9,60.0,4.75,4.77,2.85,772
24833,1.32,Ideal,E,SI2,62.7,56.0,7.03,6.97,4.39,7037
9352,0.42,Premium,H,SI1,60.9,58.0,4.85,4.84,2.95,898
22530,1.51,Premium,J,VS2,59.6,60.0,7.58,7.48,4.49,7553
15575,0.26,Ideal,I,VS1,62.1,55.0,4.11,4.13,2.56,434
22211,1.02,Premium,F,VS2,61.3,58.0,6.42,6.54,3.97,6479
1881,2.01,Premium,G,SI2,,57.2,8.08,8.14,4.97,18705
7537,0.32,Ideal,G,VVS1,61.1,55.0,4.46,4.48,2.73,796
1186,0.5,Good,D,SI2,58.5,64.0,5.2,5.12,3.02,958
11747,0.9,Premium,E,VS2,59.5,58.0,6.33,6.28,3.75,5312
24456,0.32,Very Good,H,VVS1,62.3,56.0,4.35,4.37,2.72,672
4374,0.28,Very Good,E,VVS1,59.6,59.0,4.3,4.33,2.57,642
24327,0.3,Ideal,F,IF,61.8,56.0,4.31,4.33,2.67,886
12738,1.0,Very Good,E,SI1,63.3,57.0,6.3,6.36,4.01,5051
26639,0.3,Very Good,D,VS1,63.2,59.0,4.26,4.29,2.7,707
14921,1.0,Premium,E,VVS2,61.6,59.0,6.46,6.42,3.97,9050
18490,0.58,Ideal,D,VVS1,62.2,56.0,5.34,5.36,3.33,3741
6983,1.18,Premium,I,SI2,62.9,58.0,6.77,6.7,4.24,3925
11041,1.13,Premium,G,IF,61.2,59.0,6.78,6.71,4.13,9698
21133,1.02,Premium,F,SI2,62.5,58.0,6.47,6.4,4.02,3754
22631,0.31,Premium,H,VS2,61.3,60.0,4.32,4.36,2.66,489
7007,1.34,Ideal,G,VS1,62.7,57.0,7.1,7.04,4.43,10070
21729,1.06,Premium,F,SI2,62.5,58.0,6.54,6.41,4.05,4719
20508,0.73,Very Good,F,SI1,60.4,57.0,5.86,5.89,3.55,2549
7740,0.3,Ideal,G,IF,62.1,55.0,4.35,4.31,2.69,956
13114,0.5,Good,G,SI2,62.3,64.0,5.1,5.02,3.15,1121
14390,0.6,Premium,D,SI2,62.0,57.0,5.43,5.35,3.34,1196
21399,0.34,Ideal,D,VVS2,61.3,56.0,4.51,4.53,2.77,1054
16773,0.25,Ideal,G,VS1,62.0,54.0,4.06,4.07,2.52,438
19669,0.31,Good,F,VS2,63.9,56.0,4.29,4.32,2.75,625
2316,0.41,Premium,G,SI1,62.8,58.0,4.74,4.72,2.97,861
12146,1.02,Very Good,F,VS2,59.4,58.0,6.52,6.62,3.9,6479
21055,0.5,Good,F,VS2,58.8,64.0,5.21,5.16,3.05,1433
20541,0.55,Ideal,F,SI1,60.2,56.0,5.32,5.37,3.22,1448
9612,0.51,Very Good,J,SI1,63.2,56.0,5.06,5.1,3.21,977
18806,1.5,Ideal,G,VS2,62.5,55.0,7.26,7.23,4.53,12787
26539,0.72,Very Good,F,VS1,60.2,59.0,5.79,5.84,3.5,2846
8956,0.31,Premium,H,VS1,62.9,58.0,4.34,4.31,2.72,698
17111,0.3,Very Good,D,SI2,62.9,58.0,4.26,4.29,2.69,447
12195,0.25,Ideal,H,VS1,61.5,56.0,4.05,4.08,2.5,445
10780,0.3,Good,G,VS2,63.5,54.0,4.25,4.28,2.71,526
2560,1.01,Good,E,SI1,63.6,60.0,6.38,6.32,4.04,5226
83,1.68,Ideal,I,VS2,62.1,57.0,7.6,7.54,4.7,10800
4645,0.8,Premium,G,IF,62.6,58.0,5.89,5.93,3.7,4268
3787,0.66,Very Good,F,SI2,61.6,54.0,5.62,5.64,3.47,1311
25622,1.22,Ideal,I,SI1,61.9,56.0,6.87,6.83,4.24,5261
26064,1.71,Ideal,G,VS2,61.8,57.0,7.7,7.6,4.73,16817
25924,0.72,Very Good,H,VS2,,58.0,5.67,5.73,3.56,2444
9836,0.43,Very Good,F,SI1,62.9,59.0,4.79,4.84,3.03,792
6614,1.26,Very Good,G,VVS2,62.1,58.0,6.92,6.83,4.27,9158
19308,0.3,Very Good,I,VS1,63.5,57.0,4.29,4.24,2.71,608
3827,0.7,Very Good,E,SI2,63.1,56.0,5.66,5.63,3.56,2273
25464,0.72,Ideal,F,VS2,62.2,56.0,5.75,5.73,3.57,2956
8152,1.57,Premium,G,SI1,59.5,58.0,7.61,7.56,4.51,11113
5421,0.3,Ideal,G,IF,60.9,57.0,4.35,4.39,2.66,863
17394,0.91,Very Good,E,SI1,63.1,58.0,6.17,6.12,3.88,4434
10006,1.01,Premium,F,SI2,62.0,59.0,6.49,6.43,4.01,4072
17042,1.05,Ideal,F,VS2,62.8,57.0,6.48,6.45,4.06,6933
25593,0.87,Ideal,G,I1,61.5,57.0,6.09,6.04,3.73,1827
